yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,rangeHealth,mTurkID,simStartTime,timeElapse,household.exp,total.forage
2002,0,254284.4,0,1036.3,255320.7,269500,0,26400,0,355900,-100579.3,0,-100579.3,78200,0,11730,391000,48794.61,439794.6,0.8577783,0,460,346,92,1.017548,0.173362,1.017548,100,2943589,2017-06-21 20:11:05,2.919606 mins,60000,0.826638
2003,0,229320,0,609.9327,229929.9,230000,0,0,0,290000,-60070.07,0,-60070.07,62050,0,9307.5,416500,41467.05,457967,0.88,0,490,294,73,0.999908,-0.1759517,0.999908,100,2943589,2017-06-21 20:11:05,3.158587 mins,60000,1.175952
2004,0,251940,0,518.3381,252458.3,245000,0,8000,0,313000,-60541.66,0,-60541.66,71400,0,10710,368050,41615.38,409665.4,0.88,0,433,323,84,1.017502,-0.1539327,1.017502,100,2943589,2017-06-21 20:11:05,1.029878 mins,60000,1.153933
2005,0,214500,0,520.1923,215020.2,216500,0,0,0,276500,-61479.81,0,-61479.81,52700,0,7905,412250,24930.58,437180.6,0.88,0,485,275,62,1.033164,-0.7629555,1.033164,100,2943589,2017-06-21 20:11:05,37.65259 mins,60000,1.762955
2006,0,223860,0,311.6322,224171.6,242500,0,30000,0,332500,-108328.4,0,-108328.4,33150,0,4972.5,409700,-55220.29,354479.7,0.88,0,482,287,39,1.11199,-0.2422766,1.11199,100,2943589,2017-06-21 20:11:05,1.312396 mins,60000,1.242277
2007,0,248040,0,0,248040,241000,0,0,3589.319,304589.3,-56549.32,0,-56549.32,70550,0,10582.5,446250,-51802.11,394447.9,0.88,0,525,318,83,1.138931,-0.5552175,1.138931,100,2943589,2017-06-21 20:11:05,42.63596 mins,60000,1.555218
2008,0,269880,0,0,269880,262500,0,0,3367.137,325867.1,-55987.14,0,-55987.14,76500,0,11475,464100,-42764.25,421335.8,0.88,0,546,346,90,1.202166,-0.3285198,1.202166,0,2943589,2017-06-21 20:11:05,47.49349 mins,60000,1.32852
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1567996,NA,NA,NA,NA
1999,0,308880,0,0,308880,3.00E+05,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.2372074,1,100,1999999,2017-06-21 20:11:14,1.396892 mins,60000,1.237207
2000,0,290192.4,36297.6,220.5335,326710.6,3.00E+05,5654.82,31000,0,396654.8,-69944.27,0,-69944.27,87550,0,13132.5,510000,22115.91,532115.9,0.8607077,0,600,385,103,1.023721,0.1009749,1.023721,100,1567996,2017-06-21 20:11:14,54.23801 mins,60000,0.8990251
2001,0,298661.5,3556.8,276.4489,302494.8,3.00E+05,5654.82,10300,0,375954.8,-73460.06,0,-73460.06,87550,0,13132.5,510000,23073.35,533073.4,0.8623817,0,600,390,103,1.013384,0.05462019,1.013384,100,1506846,2017-06-21 20:11:14,1.043179 mins,60000,0.9453798
2002,0,285308.9,38076,288.4169,323673.3,3.00E+05,5654.82,38900,0,404554.8,-80881.49,0,-80881.49,87550,0,13132.5,509150,16609.36,525759.4,0.8584701,0,599,386,103,1.007849,0.1571452,1.007849,99,1506846,2017-06-21 20:11:14,21.32505 mins,60000,0.8428548
2003,0,297412.6,14592,207.617,312212.2,299500,5654.82,0,0,365154.8,-52942.6,0,-52942.6,87550,0,13132.5,504900,38084.26,542984.3,0.8605908,0,594,395,103,0.9920108,0.1040643,0.9920108,98,1567996,2017-06-21 20:11:14,41.83202 mins,60000,0.8959357
2004,0,312000,4742.4,476.0532,317218.5,297000,5654.82,20000,0,382654.8,-65436.37,0,-65436.37,92650,0,13897.5,496400,51400.39,547800.4,0.88,0,584,400,109,0.9816875,-0.08844312,0.9816875,99,1567996,2017-06-21 20:11:14,22.25596 mins,60000,1.088443
2005,0,301080,0,642.5049,301722.5,292000,5654.82,0,0,357654.8,-55932.32,0,-55932.32,85000,0,12750,486200,67718.07,553918.1,0.88,0,572,386,100,0.9903698,-0.2529809,0.9903698,100,1567996,2017-06-21 20:11:14,1.407344 mins,60000,1.252981
2006,0,294060,21842.4,846.4759,316748.9,286000,5654.82,36500,0,388154.8,-71405.94,0,-71405.94,73100,0,10965,486200,58447.13,544647.1,0.88,0,572,377,86,1.015424,-0.04225235,1.015424,100,1567996,2017-06-21 20:11:14,2.264207 mins,60000,1.042252
2007,0,294060,2918.4,730.5891,297709,286000,5654.82,4600,0,356254.8,-58545.83,0,-58545.83,83300,0,12495,479400,70706.3,550106.3,0.88,0,564,377,98,1.019715,-0.1733388,1.019715,100,1567996,2017-06-21 20:11:14,1.984314 mins,60000,1.173339
2008,0,290160,3009.6,883.8287,294053.4,282000,5654.82,8500,0,356154.8,-62101.39,0,-62101.39,82450,0,12367.5,481100,78687.41,559787.4,0.88,0,566,372,97,1.03739,-0.06715087,1.03739,0,2000006,2017-06-21 20:11:14,14.66328 mins,60000,1.067151
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1654024,NA,NA,NA,NA
1999,0,312000,0,0,312000,3.00E+05,5654.82,0,0,365654.8,-53654.82,0,-53654.82,80750,0,12112.5,516800,14982.68,531782.7,0.88,0,608,400,95,1,-0.2372074,1,100,1654024,2017-06-21 20:14:46,2.396654 mins,60000,1.237207
2000,0,312780,36297.6,187.2835,349264.9,304000,5654.82,45000,0,414654.8,-65389.94,0,-65389.94,88400,0,13260,515100,24732.74,539832.7,0.88,0,606,401,104,1.023721,-0.003490392,1.023721,100,1654024,2017-06-21 20:14:46,2.449039 mins,60000,1.00349
2001,0,306540,3556.8,309.1593,310406,303000,5654.82,20000,0,388654.8,-78248.86,0,-78248.86,88400,0,13260,515950,21623.88,537573.9,0.88,0,607,393,104,1.024078,-0.02583303,1.024078,100,1654024,2017-06-21 20:14:46,3.078674 mins,60000,1.025833
2002,0,277771.5,38076,270.2985,316117.8,303500,5654.82,50000,0,419154.8,-103037,0,-103037,88400,0,13260,515100,-6273.105,508826.9,0.8620208,0,606,364,104,1.026724,0.06496689,1.026724,100,1654024,2017-06-21 20:14:46,2.277337 mins,60000,0.9350331
2003,0,296650.5,14592,0,311242.5,303000,5654.82,0,407.7518,369062.6,-57820.11,0,-57820.11,88400,0,13260,521050,11046.78,532096.8,0.8611405,0,613,392,104,1.020053,0.08937931,1.020053,100,1654024,2017-06-21 20:14:46,1.242982 mins,60000,0.9106207
2004,0,315120,4742.4,138.0848,320000.5,306500,5654.82,27000,0,399154.8,-79154.34,0,-79154.34,89250,0,13387.5,540600,7754.948,548354.9,0.88,0,636,404,105,1.010936,-0.1388944,1.010936,100,1654024,2017-06-21 20:14:46,1.981849 mins,60000,1.138894
2005,0,327600,0,96.93685,327696.9,318000,5654.82,0,0,383654.8,-55957.88,0,-55957.88,92650,0,13897.5,537200,30549.57,567749.6,0.88,0,632,420,109,1.024977,-0.1907404,1.024977,100,1654024,2017-06-21 20:14:46,1.578768 mins,60000,1.19074
2006,0,430560,21842.4,381.8696,452784.3,316000,5654.82,55000,0,436654.8,16129.45,5064.647,11064.8,91800,0,13770,550800,119644.4,670444.4,0.88,0,648,552,108,1.044528,-0.10982,1.044528,100,1654024,2017-06-21 20:14:46,1.821725 mins,60000,1.10982
2007,0,333840,2918.4,1495.555,338254,324000,5654.82,25000,0,414654.8,-76400.87,0,-76400.87,94350,0,14152.5,545700,123441,669141,0.88,0,642,428,111,1.055999,-0.07257888,1.055999,100,1654024,2017-06-21 20:14:46,1.311269 mins,60000,1.072579
2008,0,440700,3009.6,1543.013,445252.6,321000,5654.82,33000,0,419654.8,25597.79,8037.707,17560.09,93500,0,14025,445400,220476.1,665876.1,0.88,0,524,565,110,1.063663,-0.2208454,1.063663,0,1654024,2017-06-21 20:14:46,1.445454 mins,60000,1.220845
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1254603,NA,NA,NA,NA
1999,0,308880,0,0,308880,3.00E+05,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.2372074,1,100,1254603,2017-06-21 20:17:07,2.343348 mins,60000,1.237207
2000,0,308880,36297.6,220.5335,345398.1,3.00E+05,5654.82,56000,0,421654.8,-76256.69,0,-76256.69,87550,0,13132.5,510000,15803.49,525803.5,0.88,0,600,396,103,1.023721,-0.1094629,1.023721,100,1254603,2017-06-21 20:17:07,1.508421 mins,60000,1.109463
2001,0,298971.4,3556.8,197.5437,302725.7,3.00E+05,5654.82,10300,0,375954.8,-73229.08,0,-73229.08,86700,0,13005,510850,16269.41,527119.4,0.8630011,0,601,388,102,1.034927,0.03636601,1.034927,100,1254603,2017-06-21 20:17:07,1.851265 mins,60000,0.963634
2002,0,312000,38076,203.3677,350279.4,300500,5654.82,63200,0,429354.8,-79075.45,0,-79075.45,70550,0,10582.5,527850,-2838.538,525011.5,0.88,0,621,400,83,1.031163,-0.0575607,1.031163,100,1358361,2017-06-21 20:17:07,2.837132 mins,60000,1.057561
2003,0,301961.3,14592,0,316553.3,310500,5654.82,0,184.505,376339.3,-59786.02,0,-59786.02,78200,0,11730,535500,3845.442,539345.4,0.8608749,0,630,400,92,1.037099,0.09652592,1.037099,100,1254603,2017-06-21 20:17:07,2.288201 mins,60000,0.9034741
2004,0,324480,4742.4,48.06802,329270.5,315000,5654.82,18600,0,399254.8,-69984.35,0,-69984.35,84150,0,12622.5,549100,5388.59,554488.6,0.88,0,646,416,99,1.027088,-0.05506912,1.027088,100,1254603,2017-06-21 20:17:07,2.040846 mins,60000,1.055069
2005,0,332280,0,67.35737,332347.4,323000,5654.82,0,0,388654.8,-56307.46,0,-56307.46,76500,0,11475,566950,14106.13,581056.1,0.88,0,667,426,90,1.032744,-0.1811907,1.032744,100,1254603,2017-06-21 20:17:07,35.9685 mins,60000,1.181191
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2000006,NA,NA,NA,NA
2006,0,343200,21842.4,176.3266,365218.7,333500,5654.82,77800,0,476954.8,-111736.1,0,-111736.1,65450,0,9817.5,603500,-41997.47,561502.5,0.88,0,710,440,77,1.051456,-0.2284373,1.051456,100,1254603,2017-06-21 20:17:07,1.48845 mins,60000,1.228437
1999,0,308880,0,0,308880,3.00E+05,0,0,0,360000,-51120,0,-51120,87550,0,13132.5,510000,23297.5,533297.5,0.88,0,600,396,103,1,-0.2372074,1,100,2000006,2017-06-21 20:11:14,20.29259 secs,60000,1.237207
2000,0,290852.9,0,291.2188,291144.2,3.00E+05,0,30000,0,390000,-98855.84,0,-98855.84,87550,0,13132.5,510000,-1140.841,508859.2,0.8603875,0,600,387,103,1.023721,0.1093924,1.023721,100,2000006,2017-06-21 20:11:14,47.95493 secs,60000,0.8906076
2007,0,365820,2918.4,0,368738.4,355000,5654.82,28100,2729.835,451484.7,-82746.26,0,-82746.26,85000,0,12750,625600,-52493.72,573106.3,0.88,0,736,469,100,1.075475,-0.1968581,1.075475,100,1254603,2017-06-21 20:17:07,1.222373 mins,60000,1.196858
2001,0,291801.7,0,0,291801.7,3.00E+05,0,5000,74.15465,365074.2,-73272.45,0,-73272.45,87550,0,13132.5,510000,4.212744,510004.2,0.8607459,0,600,387,103,1.012522,0.09996315,1.012522,100,1506846,2017-06-21 20:11:14,1.317085 secs,60000,0.9000369
2008,0,351780,3009.6,0,354789.6,368000,5654.82,37000,3412.092,474066.9,-119277.3,0,-119277.3,85000,0,12750,666400,-99521.03,566879,0.88,0,784,451,100,1.096647,-0.1183714,1.096647,0,1254603,2017-06-21 20:17:07,3.052067 mins,60000,1.118371
2002,0,271870.8,0,0.05265931,271870.9,3.00E+05,0,25000,0,385000,-113129.1,0,-113129.1,85000,0,12750,510000,-40874.89,469125.1,0.8528217,0,600,384,100,1.002401,0.2769347,1.002401,97,2000006,2017-06-21 20:11:14,58.03128 secs,60000,0.7230653
2003,0,289662.9,0,0,289662.9,3.00E+05,0,0,2656.868,362656.9,-72993.95,0,-72993.95,87550,0,13132.5,507450,-39451.34,467998.7,0.8599288,0,597,387,103,0.9746406,0.1212193,0.9746406,96,2000006,2017-06-21 20:11:14,35.479 secs,60000,0.8787807
2004,0,307320,0,0,307320,298500,0,18000,2564.337,379064.3,-71744.34,0,-71744.34,81600,0,12240,510000,-41835.68,468164.3,0.88,0,600,394,96,0.9628261,-0.04849731,0.9628261,97,2000006,2017-06-21 20:11:14,1.011187 secs,60000,1.048497
2005,0,308880,0,0,308880,3.00E+05,0,0,2719.319,362719.3,-53839.32,0,-53839.32,79050,0,11857.5,513400,-28482.5,484917.5,0.88,0,604,396,93,0.9674955,-0.1914,0.9674955,99,2000006,2017-06-21 20:11:14,43.7343 secs,60000,1.1914
2006,0,305408.5,0,0,305408.5,302000,0,40000,1851.362,403851.4,-98442.86,0,-98442.86,76500,0,11475,525300,-61900.36,463399.6,0.8640646,0,618,392,90,0.9860134,0.003448756,0.9860134,99,2000006,2017-06-21 20:11:14,58.69904 secs,60000,0.9965512
2007,0,339300,0,0,339300,309000,0,10000,4023.523,383023.5,-43723.52,0,-43723.52,102850,0,15427.5,511700,-18201.38,493498.6,0.88,0,602,435,121,0.9856733,-0.04974862,0.9856733,99,2000006,2017-06-21 20:11:14,56.86737 secs,60000,1.049749
2008,0,326820,0,0,326820,301000,0,15000,1183.09,377183.1,-50363.09,0,-50363.09,100300,0,15045,506600,16690.53,523290.5,0.88,0,596,419,118,0.9905769,-0.08051573,0.9905769,0,1506846,2017-06-21 20:11:14,51.7812 secs,60000,1.080516
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2399964,NA,NA,NA,NA
1999,0,308880,0,0,308880,3.00E+05,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.2372074,1,100,2399964,2017-06-21 20:14:12,6.89324 secs,60000,1.237207
2000,0,269080.7,36297.6,220.5335,305598.8,3.00E+05,5654.82,11000,0,376654.8,-71055.97,0,-71055.97,87550,0,13132.5,510000,21004.21,531004.2,0.8532197,0,600,379,103,1.023721,0.269325,1.023721,100,2698339,2017-06-21 20:14:12,58.41134 secs,60000,0.730675
2001,0,297330.9,3556.8,262.5526,301150.3,3.00E+05,5654.82,15000,0,380654.8,-79504.56,0,-79504.56,87550,0,13132.5,510000,15917.15,525917.1,0.8632232,0,600,385,103,0.9961494,0.02966124,0.9961494,99,2399964,2017-06-21 20:14:12,25.62246 secs,60000,0.9703388
2002,0,251657.4,38076,198.9644,289932.3,3.00E+05,5654.82,12000,0,377654.8,-87722.48,0,-87722.48,89250,0,13387.5,509150,4057.165,513207.2,0.8461208,0,599,371,105,0.9931947,0.3910702,0.9931947,95,2399964,2017-06-21 20:14:12,1.393096 secs,60000,0.6089298
2003,0,284990.6,14592,50.71456,299633.3,299500,5654.82,0,0,365154.8,-65521.54,0,-65521.54,87550,0,13132.5,510000,12953.13,522953.1,0.8592568,0,600,383,103,0.9543538,0.1380742,0.9543538,94,2399964,2017-06-21 20:14:12,3.599832 secs,60000,0.8619258
2004,0,303212.8,4742.4,161.9141,308117.1,3.00E+05,5654.82,15000,0,380654.8,-72537.72,0,-72537.72,88400,0,13260,511700,15555.41,527255.4,0.8641083,0,602,389,104,0.9411766,0.002048736,0.9411766,94,2399964,2017-06-21 20:14:12,1.65776 secs,60000,0.9979513
2005,0,312780,0,194.4427,312974.4,301000,5654.82,0,0,366654.8,-53680.38,0,-53680.38,85000,0,12750,514250,34125.04,548375,0.88,0,605,401,100,0.9409838,-0.1549031,0.9409838,96,2399964,2017-06-21 20:14:12,1.413981 secs,60000,1.154903
2006,0,282067.7,21842.4,426.563,304336.7,302500,5654.82,23000,0,391154.8,-86818.12,0,-86818.12,92650,0,13897.5,508300,26059.42,534359.4,0.858034,0,598,383,109,0.9555599,0.1674258,0.9555599,94,2399964,2017-06-21 20:14:12,2.047549 secs,60000,0.8325742
2007,0,304200,2918.4,325.7427,307444.1,299000,5654.82,12000,0,376654.8,-69210.68,0,-69210.68,85000,0,12750,510000,29098.74,539098.7,0.88,0,600,390,100,0.9395614,-0.03410532,0.9395614,94,2399964,2017-06-21 20:14:12,1.4829 secs,60000,1.034105
2008,0,304980,3009.6,363.7343,308353.3,3.00E+05,5654.82,20000,0,385654.8,-77301.49,0,-77301.49,87550,0,13132.5,508300,26214.76,534514.8,0.88,0,598,391,103,0.9427658,-0.07997325,0.9427658,0,2399964,2017-06-21 20:14:12,2.011949 secs,60000,1.079973
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1346874,NA,NA,NA,NA
1999,0,308880,0,0,308880,3.00E+05,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.2372074,1,100,1346874,2017-06-21 20:10:28,1.917283 mins,60000,1.237207
2000,0,267813.4,36297.6,220.5335,304331.5,3.00E+05,5654.82,6100,0,371754.8,-67423.33,0,-67423.33,93500,0,14025,504050,29694.35,533744.4,0.8509928,0,593,383,110,1.023721,0.3105708,1.023721,99,1346874,2017-06-21 20:10:28,4.004908 mins,60000,0.6894292
2001,0,289110.5,3556.8,371.1794,293038.5,296500,5654.82,8900,0,371054.8,-78016.3,0,-78016.3,79900,0,11985,511700,19593.05,531293.1,0.8617078,0,602,380,94,0.991927,0.07377996,0.991927,98,1346874,2017-06-21 20:10:28,1.538478 mins,60000,0.92622
2002,0,270808.9,38076,244.9131,309129.8,301000,5654.82,41000,0,407654.8,-98524.99,0,-98524.99,95200,0,14280,495550,1988.061,497538.1,0.8585946,0,583,366,112,0.9846085,0.1541728,0.9846085,97,1346874,2017-06-21 20:10:28,1.996528 mins,60000,0.8458272
2003,0,287985.2,14592,24.85077,302602.1,291500,5654.82,0,0,357154.8,-54552.76,0,-54552.76,83300,0,12495,505750,18240.3,523990.3,0.8607282,0,595,382,98,0.9694285,0.1004309,0.9694285,96,1346874,2017-06-21 20:10:28,1.61685 mins,60000,0.8995691
2004,0,280130.8,4742.4,228.0037,285101.2,297500,5654.82,0,0,363154.8,-78053.63,0,-78053.63,101150,0,15172.5,493850,26164.16,520014.2,0.8606049,0,581,372,119,0.9596925,0.1036933,0.9596925,95,1346874,2017-06-21 20:10:28,3.672371 mins,60000,0.8963067
2005,0,290160,0,327.052,290487.1,290500,5654.82,0,0,356154.8,-65667.77,0,-65667.77,73950,0,11092.5,506600,23353.89,529953.9,0.88,0,596,372,87,0.9497411,-0.2077832,0.9497411,97,1346874,2017-06-21 20:10:28,1.174253 mins,60000,1.207783
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2644158,NA,NA,NA,NA
1999,0,312780,0,0,312780,3.00E+05,0,0,0,360000,-47220,0,-47220,86700,0,13005,510850,26475,537325,0.88,0,601,401,102,1,-0.2372074,1,100,2644158,2017-06-21 20:14:18,2.366356 mins,60000,1.237207
2000,0,296839.5,0,330.9375,297170.4,300500,0,25000,0,385500,-88329.56,0,-88329.56,84150,0,12622.5,514250,9672.944,523922.9,0.8586481,0,605,401,99,1.023721,0.1528918,1.023721,100,2644158,2017-06-21 20:14:18,2.478956 mins,60000,0.8471082
2001,0,313960.9,0,120.9118,314081.8,302500,0,5000,0,367500,-53418.17,0,-53418.17,76500,0,11475,521900,21279.77,543179.8,0.8603202,0,614,418,90,1.008069,0.1111436,1.008069,100,2644158,2017-06-21 20:14:18,2.146085 mins,60000,0.8888564
2002,0,314219.7,0,265.9971,314485.7,307000,0,15000,0,382000,-67514.26,0,-67514.26,76500,0,11475,521050,18790.51,539840.5,0.8469339,0,613,461,90,0.9968649,0.3784437,0.9968649,96,2644158,2017-06-21 20:14:18,1.789202 mins,60000,0.6215563
2003,0,320454.9,0,234.8813,320689.8,306500,0,0,0,366500,-45810.22,0,-45810.22,79900,0,11985,510000,40895.29,550895.3,0.8586212,0,600,433,94,0.9591391,0.1535361,0.9591391,94,2644158,2017-06-21 20:14:18,56.59611 mins,60000,0.8464639
2004,0,315120,0,511.1911,315631.2,3.00E+05,0,15000,0,375000,-59368.81,0,-59368.81,65450,0,9817.5,471750,37158.98,508909,0.88,0,555,404,77,0.9444129,-0.00094858,0.9444129,94,2644158,2017-06-21 20:14:18,3.028768 mins,60000,1.000949
2005,0,268320,0,464.4873,268784.5,277500,0,0,0,337500,-68715.51,0,-68715.51,61200,0,9180,459000,20463.47,479463.5,0.88,0,540,344,72,0.9445025,-0.25739,0.9445025,97,2644158,2017-06-21 20:14:18,2.042124 mins,60000,1.25739
2006,0,241386,0,255.7934,241641.8,270000,0,11000,0,341000,-99358.16,0,-99358.16,64600,0,9690,444550,-23984.69,420565.3,0.8579455,0,523,328,76,0.968813,0.1694882,0.968813,95,2644158,2017-06-21 20:14:18,1.644596 mins,60000,0.8305118
2007,0,288600,0,0,288600,261500,0,0,1559.005,323059,-34459,0,-34459,71400,0,10710,462400,2246.303,464646.3,0.88,0,544,370,84,0.9523928,-0.1985473,0.9523928,97,2644158,2017-06-21 20:14:18,1.759834 mins,60000,1.198547
2008,0,317460,0,28.07879,317488.1,272000,0,0,0,332000,-14511.92,0,-14511.92,76500,0,11475,465800,52759.38,518559.4,0.88,0,548,407,90,0.9713023,-0.035901,0.9713023,0,2644158,2017-06-21 20:14:18,1.347543 mins,60000,1.035901
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2726622,NA,NA,NA,NA
1999,0,308880,0,0,308880,3.00E+05,5654.82,0,0,365654.8,-56774.82,0,-56774.82,87550,0,13132.5,510000,17642.68,527642.7,0.88,0,600,396,103,1,-0.2372074,1,100,2726622,2017-06-21 21:17:45,2.59623 mins,60000,1.237207
2000,0,281653.6,36297.6,220.5335,318171.7,3.00E+05,5654.82,20000,0,385654.8,-67483.12,0,-67483.12,87550,0,13132.5,510000,24577.06,534577.1,0.856886,0,600,386,103,1.023721,0.1935674,1.023721,100,2726622,2017-06-21 21:17:45,2.340151 mins,60000,0.8064326
2001,0,296064.9,3556.8,307.2133,299928.9,3.00E+05,5654.82,10000,0,375654.8,-75725.89,0,-75725.89,87550,0,13132.5,510000,23268.67,533268.7,0.8620134,0,600,388,103,1.003905,0.06517728,1.003905,100,2726622,2017-06-21 21:17:45,1.761727 mins,60000,0.9348227
2002,0,281476,38076,290.8584,319842.9,3.00E+05,5654.82,35000,0,400654.8,-80811.93,0,-80811.93,87550,0,13132.5,506600,16874.24,523474.2,0.8568062,0,596,386,103,0.9973617,0.1953365,0.9973617,98,2726622,2017-06-21 21:17:45,1.111814 mins,60000,0.8046635
2003,0,285296.7,14592,210.9281,300099.6,298000,5654.82,0,0,363654.8,-63555.17,0,-63555.17,83300,0,12495,508300,24124.07,532424.1,0.8602725,0,598,380,98,0.9778795,0.1123814,0.9778795,97,2726622,2017-06-21 21:17:45,1.413336 mins,60000,0.8876186
2004,0,305760,4742.4,301.5509,310804,299000,5654.82,18300,0,382954.8,-72150.87,0,-72150.87,79900,0,11985,510000,19888.2,529888.2,0.88,0,600,392,94,0.96689,-0.05305415,0.96689,97,2726622,2017-06-21 21:17:45,1.366912 mins,60000,1.053054
2005,0,312780,0,248.6025,313028.6,3.00E+05,5654.82,0,0,365654.8,-52626.22,0,-52626.22,87550,0,13132.5,511700,41679.48,553379.5,0.88,0,602,401,103,0.9720198,-0.1969713,0.9720198,99,2726622,2017-06-21 21:17:45,56.11425 mins,60000,1.196971
2006,0,315120,21842.4,520.9935,337483.4,301000,5654.82,40000,0,406654.8,-69171.43,0,-69171.43,89250,0,13387.5,512550,48370.56,560920.6,0.88,0,603,404,105,0.9911658,-0.003333221,0.9911658,99,2726622,2017-06-21 21:17:45,1.407721 mins,60000,1.003333
2007,0,314340,2918.4,604.632,317863,301500,5654.82,13300,0,380454.8,-62591.79,0,-62591.79,86700,0,13005,510000,59473.77,569473.8,0.88,0,600,403,102,0.9914961,-0.08221737,0.9914961,100,2726622,2017-06-21 21:17:45,1.32407 mins,60000,1.082217
2008,0,308880,3009.6,743.4221,312633,3.00E+05,5654.82,10000,0,375654.8,-63021.8,0,-63021.8,87550,0,13132.5,505750,70869.47,576619.5,0.88,0,595,396,103,0.9996479,-0.0508013,0.9996479,0,2726622,2017-06-21 21:17:45,57.24836 mins,60000,1.050801
