yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,rangeHealth,mTurkID,simStartTime,timeElapse,household.exp,cost.adptexpend,total.forage
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,practiceRound,2017-06-20 14:17:03,24.37214 secs,60000,0,0.9253803
1952,0,277180.7,9028.8,48.43809,286257.9,3.00E+05,5654.82,0,0,365654.8,-79396.89,0,-79396.89,116450,0,17467.5,481100,23460.66,504560.7,0.8551417,0,566,385,137,0.992538,0.2309621,0.992538,97,practiceRound,2017-06-20 14:17:03,31.35895 secs,60000,800,0.7690379
1953,0,291720,0,293.2582,292013.3,283000,5654.82,0,0,348654.8,-56641.56,0,-56641.56,82450,0,12367.5,484500,36901.6,521401.6,0.88,0,570,374,97,0.9696142,-0.01403775,0.9696142,97,practiceRound,2017-06-20 14:17:03,14.50697 secs,60000,0,1.014038
1954,0,232704.7,26767.2,461.2699,259933.2,285000,5654.82,0,0,350654.8,-90721.66,0,-90721.66,83300,0,12495,462400,16984.93,479384.9,0.8382692,0,544,358,98,0.9709753,0.4999497,0.9709753,92,practiceRound,2017-06-20 14:17:03,11.06347 secs,60000,0,0.5000503
1955,0,280020,0,212.3116,280232.3,272000,5654.82,0,0,337654.8,-57422.51,0,-57422.51,79050,0,11857.5,469200,26754.92,495954.9,0.88,0,552,359,93,0.9224314,-0.05815656,0.9224314,0,practiceRound,2017-06-20 14:17:03,9.28864 secs,60000,0,1.058157
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2627698,NA,NA,NA,NA,
1951,0,308880,0,0,308880,3.00E+05,0,20000,0,380000,-71120,0,-71120,87550,0,13132.5,510000,3297.5,513297.5,0.88,0,600,396,103,1,-0.0937305,1,100,2627698,2017-06-21 20:07:53,4.903098 secs,60000,1.09373,
1952,0,295250.4,0,41.21875,295291.6,3.00E+05,0,18000,0,378000,-82708.35,0,-82708.35,87550,0,13132.5,510000,-4993.352,505006.6,0.8617267,0,600,388,103,1.009373,0.0732511,1.009373,100,2627698,2017-06-21 20:07:53,1.622146 secs,60000,0.9267489,
1953,0,301480.4,0,0,301480.4,3.00E+05,0,0,324.5679,360324.6,-58844.13,0,-58844.13,87550,0,13132.5,510000,10580.02,520580,0.8638108,0,600,388,103,1.001979,0.01149449,1.001979,100,2627698,2017-06-21 20:07:53,55.68802 secs,60000,0.9885055,
1954,0,283399.4,0,132.2502,283531.6,3.00E+05,0,39700,0,399700,-116168.4,0,-116168.4,87550,0,13132.5,507450,-31170.85,476279.2,0.8576562,0,597,386,103,1.000828,0.1761719,1.000828,98,2627698,2017-06-21 20:07:53,10.74275 secs,60000,0.8238281,
1955,0,307320,0,0,307320,298500,0,0,2026.105,360526.1,-53206.11,0,-53206.11,86700,0,13005,506600,-10681.95,495918,0.88,0,596,394,102,0.9831958,-0.02773329,0.9831958,0,2627698,2017-06-21 20:07:53,44.43693 secs,60000,1.027733,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1999999,NA,NA,NA,NA,
1951,0,316333.4,0,0,316333.4,3.00E+05,5654.82,7600,0,373254.8,-56921.44,0,-56921.44,60350,0,9052.5,537200,-5623.944,531576.1,0.8638378,0,632,407,71,1,0.01064661,1,100,1999999,2017-06-21 20:11:14,52.15867 secs,60000,0.9893534,
1952,0,363200.7,9028.8,0,372229.5,316000,5654.82,0,365.5564,382020.4,-9790.858,0,-9790.858,25500,0,3825,597550,6260.198,603810.2,0.8530998,0,703,512,30,0.9989353,0.2716292,0.9989353,97,1999999,2017-06-21 20:11:14,28.0678 secs,60000,0.7283708,
1953,0,417666.8,0,78.25248,417745.1,351500,5654.82,0,0,417154.8,590.248,185.3379,404.9101,39100,0,5865,647700,39900.11,687600.1,0.8574126,0,762,570,46,0.9718013,0.1817354,0.9718013,95,1999999,2017-06-21 20:11:14,1.4276 secs,60000,0.8182646,
1954,0,461565.7,26767.2,498.7514,488831.6,381000,5654.82,74100,0,520754.8,-31923.21,0,-31923.21,21250,0,3187.5,672350,26039.4,698389.4,0.8591258,0,791,621,25,0.9541403,0.1413002,0.9541403,94,1999999,2017-06-21 20:11:14,1.020635 secs,60000,0.8586998,
1955,0,456287.6,0,325.4925,456613.1,395500,5654.82,0,0,461154.8,-4541.698,0,-4541.698,18700,0,2805,694450,37392.7,731842.7,0.8538073,0,817,640,22,0.9406582,0.2578868,0.9406582,0,1999999,2017-06-21 20:11:14,59.97606 secs,60000,0.7421132,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2887087,NA,NA,NA,NA,
1951,0,295112.4,0,0,295112.4,3.00E+05,0,0,0,360000,-64887.63,0,-64887.63,87550,0,13132.5,510000,9529.868,519529.9,0.8616777,0,600,388,103,1,0.07461967,1,99,2887087,2017-06-21 20:10:00,22.09529 secs,60000,0.9253803,
1952,0,292532.1,0,119.1233,292651.3,3.00E+05,0,6000,0,366000,-73348.75,0,-73348.75,81600,0,12240,515950,5541.119,521491.1,0.8571713,0,607,400,96,0.992538,0.1871911,0.992538,97,2887087,2017-06-21 20:10:00,1.240696 secs,60000,0.8128089,
1953,0,306777.2,0,69.26398,306846.5,303500,0,0,0,363500,-56653.53,0,-56653.53,81600,0,12240,519350,18247.59,537597.6,0.862533,0,611,400,96,0.9739586,0.05021915,0.9739586,97,2887087,2017-06-21 20:10:00,58.61883 secs,60000,0.9497809,
1954,0,275292.8,0,228.0949,275520.9,305500,0,18000,0,383500,-107979.1,0,-107979.1,89250,0,13387.5,507450,-13869.05,493580.9,0.8464732,0,597,405,105,0.9690675,0.3856338,0.9690675,93,2887087,2017-06-21 20:10:00,1.901311 secs,60000,0.6143662,
1955,0,289955.4,0,0,289955.4,298500,0,0,901.4884,359401.5,-69446.08,0,-69446.08,86700,0,13005,504050,-9620.133,494429.9,0.8633401,0,593,375,102,0.931697,0.02609837,0.931697,0,2887087,2017-06-21 20:10:00,57.09607 secs,60000,0.9739016,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2152241,NA,NA,NA,NA,
1951,0,307783.8,0,0,307783.8,3.00E+05,0,7600,0,367600,-59816.17,0,-59816.17,76500,0,11475,521050,5208.825,526258.8,0.8638378,0,613,396,90,1,0.01064661,1,100,2152241,2017-06-21 20:14:18,3.924284 mins,60000,0.9893534,
1952,0,94422.17,0,65.11032,94487.28,306500,0,7800,0,374300,-279812.7,0,-279812.7,382500,0,57375,225250,50521.11,275771.1,0.8572778,0,265,129,450,0.9989353,0.1847891,0.9989353,98,2152241,2017-06-21 20:14:18,55.98148 mins,60000,0.8152109,
1953,0,83460,0,631.5139,84091.51,132500,0,0,0,192500,-108408.5,0,-108408.5,0,0,0,325550,-57887.38,267662.6,0.88,0,383,107,0,0.9804761,-1.190094,0.9804761,100,2152241,2017-06-21 20:14:18,3.061184 mins,60000,2.190094,
1954,0,182443.6,0,0,182443.6,191500,0,0,3762.68,255262.7,-72819.08,0,-72819.08,34000,0,5100,358700,-101806.5,256893.5,0.8583885,0,422,247,40,1.097162,0.1590845,1.097162,100,2152241,2017-06-21 20:14:18,1.338459 mins,60000,0.8409155,
1955,0,207480,0,0,207480,211000,0,0,6617.42,277617.4,-70137.42,0,-70137.42,34850,0,5227.5,497250,-142321.4,354928.6,0.88,0,585,266,41,1.079708,-0.5966457,1.079708,0,2152241,2017-06-21 20:14:18,1.342014 mins,60000,1.596646,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1567996,NA,NA,NA,NA,
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,1567996,2017-06-21 20:11:14,3.148936 mins,60000,0.9253803,
1952,0,276506.6,9028.8,48.43809,285583.9,3.00E+05,5654.82,0,0,365654.8,-80070.96,0,-80070.96,102000,0,15300,495550,10504.08,506054.1,0.8548143,0,583,385,120,0.992538,0.2376961,0.992538,97,1567996,2017-06-21 20:11:14,12.26842 mins,60000,0.7623039,
1953,0,293246.9,0,131.301,293378.2,291500,5654.82,0,0,357154.8,-63776.61,0,-63776.61,85000,0,12750,496400,18977.47,515377.5,0.8636603,0,584,378,100,0.9689458,0.01620972,0.9689458,97,1999999,2017-06-21 20:11:14,1.599529 mins,60000,0.9837903,
1954,0,301080,26767.2,237.2184,328084.4,292000,5654.82,63300,0,420954.8,-92870.4,0,-92870.4,85000,0,12750,483650,-1642.929,482007.1,0.88,0,569,386,100,0.9673752,-0.03367954,0.9673752,97,1567996,2017-06-21 20:11:14,27.0024 mins,60000,1.03368,
1955,0,300300,0,0,300300,284500,5654.82,0,106.7904,350261.6,-49961.61,0,-49961.61,82450,0,12367.5,485350,18477.96,503828,0.88,0,571,385,97,0.9706332,-0.06452934,0.9706332,0,1999999,2017-06-21 20:11:14,4.59906 mins,60000,1.064529,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2679012,NA,NA,NA,NA,
1951,0,308880,0,0,308880,3.00E+05,0,25000,0,385000,-76120,0,-76120,87550,0,13132.5,510000,-1702.5,508297.5,0.88,0,600,396,103,1,-0.135818,1,100,2627698,2017-06-21 20:07:53,29.44105 secs,60000,1.135818,
1952,0,293512.7,0,0,293512.7,3.00E+05,0,5200,110.6625,365310.7,-71797.99,0,-71797.99,87550,0,13132.5,510000,917.013,510917,0.8575868,0,600,400,103,1.013582,0.1777627,1.013582,100,2627698,2017-06-21 20:07:53,35.54192 secs,60000,0.8222373,
1953,0,319800,0,11.46266,319811.5,3.00E+05,0,4000,0,364000,-44188.54,0,-44188.54,87550,0,13132.5,510000,31145.98,541146,0.88,0,600,410,103,0.9955641,-0.01584662,0.9955641,100,2679012,2017-06-21 20:07:53,52.01877 secs,60000,1.015847,
1954,0,268049.8,0,389.3247,268439.1,3.00E+05,0,40000,0,4.00E+05,-131560.9,0,-131560.9,87550,0,13132.5,495550,-25997.4,469552.6,0.8576877,0,583,365,103,0.9971417,0.17545,0.9971417,98,2679012,2017-06-21 20:07:53,12.80381 secs,60000,0.82455,
1955,0,280800,0,0,280800,291500,0,0,1689.831,353189.8,-72389.83,0,-72389.83,85000,0,12750,487050,-26137.23,460912.8,0.88,0,573,360,100,0.9796469,-0.04861425,0.9796469,0,2679012,2017-06-21 20:07:53,1.727773 secs,60000,1.048614,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1983352,NA,NA,NA,NA,
1951,0,207520.9,0,0,207520.9,3.00E+05,5654.82,7600,0,373254.8,-165733.9,0,-165733.9,88400,0,13260,509150,-90593.91,418556.1,0.8638378,0,599,267,104,1,0.01064661,1,100,1983352,2017-06-21 20:12:09,7.520809 mins,60000,0.9893534,
1952,0,174913.7,9028.8,0,183942.5,299500,5654.82,0,5888.604,371043.4,-187100.9,0,-187100.9,205700,0,30855,391000,-102849.8,288150.2,0.8551156,0,460,243,242,0.9989353,0.2315019,0.9989353,98,1983352,2017-06-21 20:12:09,3.465206 mins,60000,0.7684981,
1953,0,62400,0,0,62400,230000,5654.82,0,6685.239,302340.1,-239940.1,0,-239940.1,275400,0,41310,304300,-108699.9,195600.1,0.88,0,358,80,324,0.9758098,-0.2556799,0.9758098,100,1983352,2017-06-21 20:12:09,2.139905 mins,60000,1.25568,
1954,0,127920,26767.2,0,154687.2,179000,5654.82,18200,7065.492,269920.3,-115233.1,0,-115233.1,52700,0,7905,362100,-179138,182962,0.88,0,426,164,62,1.000759,-0.07734901,1.000759,100,1983352,2017-06-21 20:12:09,3.069554 mins,60000,1.077349,
1955,0,237900,0,0,237900,213000,5654.82,0,11643.97,290298.8,-52398.79,0,-52398.79,77350,0,11602.5,462400,-165789.3,296610.7,0.88,0,544,305,91,1.0085,-0.4773421,1.0085,0,1983352,2017-06-21 20:12:09,1.922928 mins,60000,1.477342,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2698339,NA,NA,NA,NA,
1951,0,300011.5,0,0,300011.5,3.00E+05,0,7600,0,367600,-67588.49,0,-67588.49,87550,0,13132.5,510000,6829.006,516829,0.8638378,0,600,386,103,1,0.01064661,1,100,2698339,2017-06-21 20:14:12,40.8487 secs,60000,0.9893534,
1952,0,237528.5,0,85.36258,237613.9,3.00E+05,0,5200,0,365200,-127586.1,0,-127586.1,136000,0,20400,461550,-5157.122,456392.9,0.8570902,0,543,325,160,0.9989353,0.1890117,0.9989353,98,2698339,2017-06-21 20:14:12,1.310437 secs,60000,0.8109883,
1953,0,262860,0,0,262860,271500,0,0,335.213,331835.2,-68975.21,0,-68975.21,40800,0,6120,510000,-39452.34,470547.7,0.88,0,600,337,48,0.9800543,-0.06837055,0.9800543,99,2399964,2017-06-21 20:14:12,2.598154 secs,60000,1.068371,
1954,0,369720,0,0,369720,3.00E+05,0,65800,2564.402,428364.4,-58644.4,0,-58644.4,94350,0,14152.5,510000,-17899.24,492100.8,0.88,0,600,474,111,0.986755,-0.03664006,0.986755,99,2698339,2017-06-21 20:14:12,53.25353 secs,60000,1.03664,
1955,0,308880,0,0,308880,3.00E+05,0,800,1163.45,361963.5,-53083.45,0,-53083.45,135150,0,20272.5,510000,43894.81,553894.8,0.88,0,600,396,159,0.9903705,-0.0300568,0.9903705,0,2399964,2017-06-21 20:14:12,0.8268597 secs,60000,1.030057,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1654024,NA,NA,NA,NA,
1951,0,317460,0,0,317460,3.00E+05,5654.82,15000,0,380654.8,-63194.82,0,-63194.82,82450,0,12367.5,515100,6887.68,521987.7,0.88,0,606,407,97,1,-0.05164295,1,100,1654024,2017-06-21 20:14:46,8.796406 mins,60000,1.051643,
1952,0,307114.5,9028.8,86.096,316229.4,303000,5654.82,20000,0,388654.8,-72425.44,0,-72425.44,83300,0,12495,518500,5267.236,523767.2,0.8618797,0,610,403,98,1.005164,0.06895896,1.005164,100,1654024,2017-06-21 20:14:46,4.515878 mins,60000,0.931041,
1953,0,253939.6,0,65.84045,254005.4,305000,5654.82,0,0,370654.8,-116649.4,0,-116649.4,171700,0,25755,429250,34562.86,463812.9,0.863168,0,505,329,202,0.9982328,0.03133502,0.9982328,100,1654024,2017-06-21 20:14:46,2.217485 mins,60000,0.968665,
1954,0,184106.9,26767.2,432.0357,211306.1,252500,5654.82,30000,0,348154.8,-136848.7,0,-136848.7,72250,0,10837.5,440300,-40873.32,399426.7,0.8599165,0,518,246,85,0.9951048,0.1215306,0.9951048,98,1654024,2017-06-21 20:14:46,2.940628 mins,60000,0.8784694,
1955,0,182520,0,0,182520,259000,5654.82,0,2656.766,327311.6,-144791.6,0,-144791.6,75650,0,11347.5,434350,-121362.4,312987.6,0.88,0,511,234,89,0.9830113,-0.1842502,0.9830113,0,1654024,2017-06-21 20:14:46,2.582237 mins,60000,1.18425,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1254603,NA,NA,NA,NA,
0,noadpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,2943589,NA,NA,NA,NA,
1951,0,301566,0,0,301566,3.00E+05,5654.82,7600,0,373254.8,-71688.85,0,-71688.85,87550,0,13132.5,510000,2728.65,512728.7,0.8638378,0,600,388,103,1,0.01064661,1,100,1254603,2017-06-21 20:17:07,1.493626 mins,60000,0.9893534,
1951,0,323328.5,0,0,323328.5,3.00E+05,0,7600,0,367600,-44271.54,0,-44271.54,102000,0,15300,495550,42428.46,537978.5,0.8638378,0,583,416,120,1,0.01064661,1,100,2943589,2017-06-21 20:11:05,1.05296 mins,60000,0.9893534,
1952,0,280595.8,9028.8,34.10813,289658.7,3.00E+05,5654.82,0,0,365654.8,-75996.09,0,-75996.09,96900,0,14535,500650,9097.565,509747.6,0.8550536,0,589,390,114,0.9989353,0.2327828,0.9989353,98,1254603,2017-06-21 20:17:07,1.272421 mins,60000,0.7672172,
1952,0,271259.6,0,530.3558,271790,291500,0,0,0,351500,-79710.02,0,-79710.02,85000,0,12750,498100,34968.44,533068.4,0.8561156,0,586,374,100,0.9989353,0.2104111,0.9989353,98,2943589,2017-06-21 20:11:05,1.340693 mins,60000,0.7895889,
1953,0,299126.8,0,113.7196,299240.5,294500,5654.82,0,0,360154.8,-60914.28,0,-60914.28,85850,0,12877.5,501500,21155.78,522655.8,0.8635557,0,590,386,101,0.9756818,0.01946177,0.9756818,97,1358361,2017-06-21 20:17:07,39.29916 mins,60000,0.9805382,
1953,0,312000,0,437.1056,312437.1,293000,0,14300,0,367300,-54862.89,0,-54862.89,97750,0,14662.5,452200,63193.05,515393,0.88,0,532,400,115,0.9779166,-0.1110616,0.9779166,99,2943589,2017-06-21 20:11:05,58.96275 mins,60000,1.111062,
1954,0,298740,26767.2,264.4473,325771.6,295000,5654.82,64100,0,424754.8,-98983.17,0,-98983.17,85000,0,12750,488750,-5577.391,483172.6,0.88,0,575,383,100,0.973783,-0.03320384,0.973783,98,1254603,2017-06-21 20:17:07,3.193123 mins,60000,1.033204,
1954,0,222382.8,0,789.9131,223172.8,266000,0,0,0,326000,-102827.2,0,-102827.2,77350,0,11602.5,460700,26113.31,486813.3,0.8417443,0,542,336,91,0.9887775,0.4544088,0.9887775,94,2943589,2017-06-21 20:11:05,26.13133 mins,60000,0.5455912,
1955,0,288600,0,0,288600,287500,5654.82,0,362.5304,353517.4,-64917.35,0,-64917.35,73100,0,10965,497250,-8359.742,488890.3,0.88,0,585,370,86,0.9770163,-0.06034874,0.9770163,0,1254603,2017-06-21 20:17:07,1.830759 mins,60000,1.060349,
1955,0,279240,0,326.4164,279566.4,271000,0,13800,0,344800,-65233.58,0,-65233.58,79050,0,11857.5,419050,28072.23,447122.2,0.88,0,493,358,93,0.9438466,-0.08671805,0.9438466,0,2943589,2017-06-21 20:11:05,31.95416 mins,60000,1.086718,
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1346874,NA,NA,NA,NA,
1951,0,216010.1,0,0,216010.1,3.00E+05,5654.82,0,0,365654.8,-149644.7,0,-149644.7,162350,0,24352.5,435200,-11647.24,423552.8,0.8616777,0,512,284,191,1,0.07461967,1,99,1346874,2017-06-21 20:10:28,9.938658 mins,60000,0.9253803,
1952,0,147443.8,9028.8,0,156472.6,256000,5654.82,0,757.0704,322411.9,-165939.3,0,-165939.3,231200,0,34680,294100,18933.51,313033.5,0.8604914,0,346,196,272,0.992538,0.1066752,0.992538,98,1346874,2017-06-21 20:10:28,8.467226 mins,60000,0.8933248,
1953,0,120120,0,236.6688,120356.7,173000,5654.82,0,0,238654.8,-118298.2,0,-118298.2,209950,0,31492.5,200600,79092.86,279692.9,0.88,0,236,154,247,0.9819501,-0.6799058,0.9819501,100,1346874,2017-06-21 20:10:28,3.379245 mins,60000,1.679906,
1954,0,76440,26767.2,988.6607,104195.9,118000,5654.82,0,0,183654.8,-79458.96,0,-79458.96,100300,0,15045,175100,84888.9,259988.9,0.88,0,206,98,118,1.048713,-0.3044434,1.048713,100,1346874,2017-06-21 20:10:28,5.804755 mins,60000,1.304443,
1955,0,3900,0,1061.111,4961.111,103000,5654.82,0,0,168654.8,-163693.7,0,-163693.7,8500,0,1275,203150,-71579.81,131570.2,0.88,0,239,5,10,1.080641,-2.273625,1.080641,0,1346874,2017-06-21 20:10:28,7.542811 mins,60000,3.273625,
